,SEXVAR,EXERANY2,MARIJAN1,RSNMRJN2,sex,exercised,marijuana_use
220966,1.0,1.0,,,male,yes,
221102,1.0,1.0,,,male,yes,
221439,2.0,1.0,,,female,yes,
222219,2.0,1.0,,,female,yes,
222968,2.0,1.0,,,female,yes,
223023,1.0,1.0,,,male,yes,
223109,1.0,1.0,,,male,yes,
223224,1.0,1.0,,,male,yes,
223300,1.0,1.0,,,male,yes,
223460,1.0,1.0,,,male,yes,
223466,1.0,1.0,,,male,yes,
223547,1.0,1.0,,,male,yes,
223855,1.0,1.0,,,male,yes,
224385,1.0,1.0,,,male,yes,
224486,2.0,1.0,,,female,yes,
224926,2.0,1.0,,,female,yes,
225143,2.0,1.0,,,female,yes,
225157,2.0,1.0,,,female,yes,
225173,1.0,1.0,,,male,yes,
225246,2.0,1.0,,,female,yes,
225257,2.0,1.0,,,female,yes,
225273,1.0,1.0,,,male,yes,
225381,1.0,1.0,,,male,yes,
225479,1.0,1.0,,,male,yes,
225559,2.0,1.0,,,female,yes,
225634,1.0,1.0,,,male,yes,
225838,1.0,1.0,,,male,yes,
225889,1.0,1.0,,,male,yes,
226125,1.0,1.0,,,male,yes,
