year,month,dow,sex,count
1996,Oct,Fri,M,23902
1996,Oct,Sat,F,17112
1996,Oct,Sat,M,17693
1996,Nov,Sun,F,15072
1996,Nov,Sun,M,15635
1996,Nov,Mon,F,21371
1996,Nov,Mon,M,22156
1996,Nov,Tue,F,23686
1996,Nov,Tue,M,24516
1996,Nov,Wed,F,22217
1996,Nov,Wed,M,23196
1996,Nov,Thu,F,20976
1996,Nov,Thu,M,21823
1996,Nov,Fri,F,27320
1996,Nov,Fri,M,28867
1996,Nov,Sat,F,20979
1996,Nov,Sat,M,21865
1996,Dec,Sun,F,19173
1996,Dec,Sun,M,20169
1996,Dec,Mon,F,27072
1996,Dec,Mon,M,28291
1996,Dec,Tue,F,28177
1996,Dec,Tue,M,29306
1996,Dec,Wed,F,20815
1996,Dec,Wed,M,21784
1996,Dec,Thu,F,22456
1996,Dec,Thu,M,23512
1996,Dec,Fri,F,22953
1996,Dec,Fri,M,24064
1996,Dec,Sat,F,16915
1996,Dec,Sat,M,18030
1997,Jan,Sun,F,14744
1997,Jan,Sun,M,15536
1997,Jan,Mon,F,20400
1997,Jan,Mon,M,21328
1997,Jan,Tue,F,22775
1997,Jan,Tue,M,23574
1997,Jan,Wed,F,26191
1997,Jan,Wed,M,26990
1997,Jan,Thu,F,26871
1997,Jan,Thu,M,28064
1997,Jan,Fri,F,28048
1997,Jan,Fri,M,28991
1997,Jan,Sat,F,16379
1997,Jan,Sat,M,17608
1997,Feb,Sun,F,14931
1997,Feb,Sun,M,15596
1997,Feb,Mon,F,20525
1997,Feb,Mon,M,21380
1997,Feb,Tue,F,22434
1997,Feb,Tue,M,23653
1997,Feb,Wed,F,22496
1997,Feb,Wed,M,23528
1997,Feb,Thu,F,22391
1997,Feb,Thu,M,23400
1997,Feb,Fri,F,22756
1997,Feb,Fri,M,24123
1997,Feb,Sat,F,16726
1997,Feb,Sat,M,17856
1997,Mar,Sun,F,18700
1997,Mar,Sun,M,19336
1997,Mar,Mon,F,26372
1997,Mar,Mon,M,27270
1997,Mar,Tue,F,23340
1997,Mar,Tue,M,24442
1997,Mar,Wed,F,22866
1997,Mar,Wed,M,23808
1997,Mar,Thu,F,22513
1997,Mar,Thu,M,23821
1997,Mar,Fri,F,22551
1997,Mar,Fri,M,23652
1997,Mar,Sat,F,20993
1997,Mar,Sat,M,21819
1997,Apr,Sun,F,14768
1997,Apr,Sun,M,15095
1997,Apr,Mon,F,20881
1997,Apr,Mon,M,21557
1997,Apr,Tue,F,28148
1997,Apr,Tue,M,29746
1997,Apr,Wed,F,28069
1997,Apr,Wed,M,29775
1997,Apr,Thu,F,22729
1997,Apr,Thu,M,23969
1997,Apr,Fri,F,22375
1997,Apr,Fri,M,23521
1997,Apr,Sat,F,16554
1997,Apr,Sat,M,17272
1997,May,Sun,F,15263
1997,May,Sun,M,15848
1997,May,Mon,F,20278
1997,May,Mon,M,21246
1997,May,Tue,F,23200
1997,May,Tue,M,24118
1997,May,Wed,F,23208
1997,May,Wed,M,24767
1997,May,Thu,F,29256
1997,May,Thu,M,30743
1997,May,Fri,F,29038
1997,May,Fri,M,30416
1997,May,Sat,F,21061
1997,May,Sat,M,22158
1997,Jun,Sun,F,18972
1997,Jun,Sun,M,20206
1997,Jun,Mon,F,26948
1997,Jun,Mon,M,28121
1997,Jun,Tue,F,23799
1997,Jun,Tue,M,25237
1997,Jun,Wed,F,23443
1997,Jun,Wed,M,24598
1997,Jun,Thu,F,23300
1997,Jun,Thu,M,24754
1997,Jun,Fri,F,23074
1997,Jun,Fri,M,24231
1997,Jun,Sat,F,17198
1997,Jun,Sat,M,18288
1997,Jul,Sun,F,15758
1997,Jul,Sun,M,16413
1997,Jul,Mon,F,22262
1997,Jul,Mon,M,23353
1997,Jul,Tue,F,31205
1997,Jul,Tue,M,32817
1997,Jul,Wed,F,30399
1997,Jul,Wed,M,31924
1997,Jul,Thu,F,30248
1997,Jul,Thu,M,31419
1997,Jul,Fri,F,22394
1997,Jul,Fri,M,23503
1997,Jul,Sat,F,17125
1997,Jul,Sat,M,17994
1997,Aug,Sun,F,19820
1997,Aug,Sun,M,20695
1997,Aug,Mon,F,22082
1997,Aug,Mon,M,22900
1997,Aug,Tue,F,24413
1997,Aug,Tue,M,25913
1997,Aug,Wed,F,23805
1997,Aug,Wed,M,24916
1997,Aug,Thu,F,24105
1997,Aug,Thu,M,25013
1997,Aug,Fri,F,29620
1997,Aug,Fri,M,31371
1997,Aug,Sat,F,22083
1997,Aug,Sat,M,22720
1997,Sep,Sun,F,16004
1997,Sep,Sun,M,16934
1997,Sep,Mon,F,26523
1997,Sep,Mon,M,27401
1997,Sep,Tue,F,30137
1997,Sep,Tue,M,31738
